AIRPORT_CODE,AIRPORT_NAME,CITY_NAME,COUNTRY_NAME
TX1,Mesquite Metro,"Mesquite, TX",United States
TX8,City of Slaton Larry T Neal Meml,"Slaton, TX",United States
TXK,Texarkana Regional Airport (Webb Field),"Texarkana, AR",United States
TXL,Tegel,"Berlin, Germany",Germany
TYE,Tyonek Airport,"Tyonek, AK",United States
TYM,Staniel Cay Airport,"Exuma, The Bahamas",The Bahamas
TYN,Taiyuan Wusu International Airport,"Taiyuan, China",China
TYR,Tyler Pounds Regional Airport,"Tyler, TX",United States
TYS,McGhee Tyson Airport,"Knoxville, TN",United States
TZN,Congo Town Airport,"South Andos, The Bahamas",The Bahamas
TZX,Trabzon International Airport,"Trabzon, Turkey",Turkey
UAM,Andersen Air Force Base,"Guam, TT",United States
UBF,Chatham Municipal,"Chatham, MA",United States
UDD,Bermuda Dunes Airport,"Bermuda Dunes, CA",United States
UGB,Ugashik Bay Airport,"Pilot Point, AK",United States
UGI,San Juan /Uganik/ Seaplane Base,"Uganik, AK",United States
UGS,Ugashik Airport,"Ugashik, AK",United States
UIN,Quincy Regional Airport Baldwin Field,"Quincy, IL",United States
UIO,Mariscal Sucre International Airport,"Quito, Ecuador",Ecuador
UMT,Umiat Airport,"Umiat, AK",United States
UNI,Union Island International Airport,"Union Island, Saint Vincent and the Grenadines",Saint Vincent and the Grenadines
UNK,Unalakleet Airport,"Unalakleet, AK",United States
UOX,University Oxford Airport,"Oxford, MS",United States
UPN,Uruapan - Licenciado y General Ignacio Lopez Rayon International Airport,"Uruapan, Mexico",Mexico
UST,Northeast Florida Regional Airport,"St. Augustine, FL",United States
UTM,Tunica Municipal Airport,"Tunica, MS",United States
UTO,Indian Mountain LRRS Airport,"Utopia, AK",United States
UUK,Ugnu-Kuparuk Airport,"Kuparuk, AK",United States
UUS,Yuzhno-Sakhalinsk International Airport,"Yuzhno-Sakhalinsk, Russia",Russia
UVF,Hewanorra International Airport,"St. Lucia, Saint Lucia",Saint Lucia
UXA,Lik Camp Airport,"Lik Camp, AK",United States
UXI,Calder Bay Airport,"Calder Bay, AK",United States
UXM,47-Mile Mine Airport,"47-Mile Mine, AK",United States
UXR,Monument Valley Airport,"Monument Valley, UT",United States
VA4,Leesburg Executive,"Leesburg, VA",United States
VAK,Chevak Airport,"Chevak, AK",United States
VAS,Sivas Nuri Demirağ Airport,"Sivas, Turkey",Turkey
VAV,Vava'u International Airport,"Vava'u, Tonga",Tonga
VCE,Venice Marco Polo Airport,"Venice, Italy",Italy
VCP,Viracopos International Airport,"Sao Paulo, Brazil",Brazil
VCT,Victoria Regional Airport,"Victoria, TX",United States
VCV,Southern California Logistics Airport,"Victorville, CA",United States
VDZ,Valdez Pioneer Field,"Valdez, AK",United States
VEE,Venetie Airport,"Venetie, AK",United States
VEL,Vernal Regional Airport,"Vernal, UT",United States
VER,General Heriberto Jara International Airport,"Veracruz, Mexico",Mexico
VGT,North Las Vegas Airport,"Las Vegas, NV",United States
VIE,Vienna International Airport,"Vienna, Austria",Austria
VIJ,Virgin Gorda Airport,"Virgin Gorda, British Virgin Islands",British Virgin Islands
VIK,Kavik River Airport,"Kavik River, AK",United States
VIS,Visalia Municipal Airport,"Visalia, CA",United States
VIT,Vitoria Airport,"Vitoria, Spain",Spain
VKO,Vnukovo International Airport,"Moscow, Russia",Russia
VLC,Valencia Airport,"Valencia, Spain",Spain
VLD,Valdosta Regional Airport,"Valdosta, GA",United States
VNY,Van Nuys Airport,"Van Nuys, CA",United States
VPC,Cartersville Airport,"Cartersville, GA",United States
VPS,Destin-Fort Walton Beach Airport,"Valparaiso, FL",United States
VPZ,Porter County Municipal Airport,"Valparaiso, IN",United States
VQS,Antonio Rivera Rodriguez Airport,"Vieques, PR",United States
VRA,Juan Gualberto Gomez International Airport,"Varadero, Cuba",Cuba
VRB,Vero Beach Regional Airport,"Vero Beach, FL",United States
VSA,Carlos Rovirosa Pérez International Airport,"Villahermosa, Mexico",Mexico
VT1,Deerfield Valley Regional,"West Dover, VT",United States
VVI,Viru Viru International Airport,"Santa Cruz, Bolivia",Bolivia
VVO,Vladivostok International Airport,"Vladivostok, Russia",Russia
VWD,Hanford Municipal,"Hanford, CA",United States
VWZ,Granite Creek Mine Airport,"Granite Creek Mine, AK",United States
VYS,Illinois Valley Regional Airport Walter A Duncan Field,"Peru, IL",United States
VZC,Mush Bay Airport,"Mush Bay, AK",United States
VZE,Frazer Lake Airport,"Frazer Lake, AK",United States
VZM,Jensens Strip Airport,"Jensens Strip, AK",United States
VZN,Wildman Creek Airport,"Wildman Creek, AK",United States
VZR,Katmai Bay Airport,"Katmai Bay, AK",United States
VZY,Katmai Lodge Airport,"Katmai Lodge, AK",United States
WA3,Shaw Islands Water Aerodrome,"Shaw Island, WA",United States
WA6,Stehekin Seaplane Landing,"Stehekin, WA",United States
WA7,Chelan Seaplane Landing,"Chelan, WA",United States
WAA,Wales Airport,"Wales, AK",United States
WAW,Warsaw Chopin Airport,"Warsaw, Poland",Poland
WBB,Stebbins Airport,"Stebbins, AK",United States
WBQ,Beaver Airport,"Beaver, AK",United States
WCR,Chandalar Lake Airport,"Chandalar, AK",United States
WDH,Hosea Kutako International Airport,"Windhoek, Namibia",Namibia
WFB,Ketchikan Harbor Seaplane Base,"Ketchikan, AK",United States
WGO,Winchester Regional Airport,"Winchester, VA",United States
WHD,Hyder Seaplane Base,"Hyder, AK",United States
WKK,Aleknagik / New Airport,"Aleknagik, AK",United States
WKR,Walkers Cay Airport,"Walker's Cay, The Bahamas",The Bahamas
WLG,Wellington International Airport,"Wellington, New Zealand",New Zealand
WLK,Selawik Airport,"Selawik, AK",United States
WMK,Meyers Chuck Seaplane Base,"Meyers Chuck, AK",United States
WMO,White Mountain Airport,"White Mountain, AK",United States
WNA,Napakiak Airport,"Napakiak, AK",United States
WQU,Portales Municipal,"Portales, NM",United States
WQZ,Chignik Lake Airport,"Chignik Lake, AK",United States
WRG,Wrangell Airport,"Wrangell, AK",United States
WRL,Worland Municipal Airport,"Worland, WY",United States
WSB,Steamboat Bay Seaplane Base,"Steamboat Bay, AK",United States
WSJ,San Juan Airport,"San Juan, AK",United States
WSN,South Naknek Number 2 Airport,"South Naknek, AK",United States
WST,Westerly State Airport,"Westerly, RI",United States
WSX,Westsound/WSX Seaplane Base,"Westsound, WA",United States
WTK,Noatak Airport,"Noatak, AK",United States
WTL,Tuntutuliak Airport,"Tuntutuliak, AK",United States
WUH,Wuhan Tianhe International Airport,"Wuhan, China",China
WWA,Wasilla Airport,"Wasilla, AK",United States
WWP,Whale Pass Seaplane Float Harbor Facility,"Whale Pass, AK",United States
WWT,Mertarvik Airport,"Newtok, AK",United States
WYS,Yellowstone Airport,"West Yellowstone, MT",United States
XCR,Chalons Vatry airport,"Chalons-En-Champagne, France",France
XIY,Xi'an Xianyang International Airport,"Xi'an, China",China
XMN,Xiamen Gaoqi International Airport,"Xiamen, China",China
XNA,Northwest Arkansas National Airport,"Fayetteville, AR",United States
XPL,Palmerola International Airport,"Comayagua, Honduras",Honduras
XSC,South Caicos Airport,"South Caicos, Turks and Caicos Islands",Turks and Caicos Islands
XWA,Williston Basin International Airport,"Williston, ND",United States
XWW,Teton Peaks,"Driggs, ID",United States
XXR,Mariposa-Yosemite,"Mariposa, CA",United States
XXV,Decatur Shores,"Decatur, WA",United States
XXW,Lake City Gateway,"Lake City, FL",United States
YAK,Yakutat Airport,"Yakutat, AK",United States
YAM,Sault Ste Marie Airport,"Sault Ste. Marie, Canada",Canada
YAP,Yap International Airport,"Yap, Federated States of Micronesia",Federated States of Micronesia
YBG,Saguenay-Bagotville Airport,"Saguenay, Canada",Canada
YBL,Campbell River Airport,"Campbell River, Canada",Canada
YBW,Bedwell Harbour Seaplane Base,"Bedwell Harbour, Canada",Canada
YCD,Nanaimo Airport,"Nanaimo, Canada",Canada
YCE,Centralia / James T. Field Memorial Aerodrome,"Centralia, Canada",Canada
YCF,Cortes Bay Water Aerodrome,"Cortes Bay, Canada",Canada
YDA,Dawson City Airport,"Dawson City, Canada",Canada
YDF,Deer Lake Airport,"Deer Lake, Canada",Canada
YDS,Desolation Sound Marine Park,"Desolation Sound, Canada",Canada
YEG,Edmonton International Airport,"Edmonton, Canada",Canada
YEV,Inuvik Mike Zubko Airport,"Inuvik, Canada",Canada
YFB,Iqaluit Airport,"Iqaluit, Canada",Canada
YFC,Fredericton International Airport,"Fredericton, Canada",Canada
YGE,Gorge Harbour Seaplane Base,"Gorge Harbor, Canada",Canada
YGG,Ganges Seaplane Base,"Ganges Harbor, Canada",Canada
YGK,Kingston Norman Rogers Airport,"Kingston, Canada",Canada
YGN,Greenway Sound Seaplane Base,"Greenway Sound, Canada",Canada
YHH,Campbell River Seaplane Base,"Campbell River, Canada",Canada
YHM,John C. Munro Hamilton International Airport,"Hamilton, Canada",Canada
YHS,Sechelt-Gibsons Airport,"Sechelt, Canada",Canada
YHU,Montréal / Saint-Hubert Metropolitan Airport,"Montreal, Canada",Canada
YHZ,Halifax / Stanfield International Airport,"Halifax, Canada",Canada
YIG,Big Bay Seaplane Base,"Big Bay Marina, Canada",Canada
YIP,Willow Run Airport,"Detroit, MI",United States
YJT,Stephenville Dymond International Airport,"Stephenville, Canada",Canada
YKA,Kamloops John Moose Fulton Field Regional Airport,"Kamloops, Canada",Canada
YKF,Region of Waterloo International Airport,"Kitchener, Canada",Canada
YKM,Yakima Air Terminal McAllister Field,"Yakima, WA",United States
YLW,Kelowna International Airport,"Kelowna, Canada",Canada
YMF,Montague Harbour Seaplane Base,"Galiano Island, Canada",Canada
YMM,Fort McMurray International Airport,"Fort McMurray, Canada",Canada
YMP,Port McNeill Airport,"Port McNeill, Canada",Canada
YMU,Mansons Landing Seaplane Base,"Mansons Landing, Canada",Canada
YMX,Montreal Mirabel International Airport,"Montreal, Canada",Canada
YNG,Youngstown Warren Regional Airport,"Youngstown/Warren, OH",United States
YOC,Old Crow Airport,"Old Crow, Canada",Canada
YOD,CFB Cold Lake,"Cold Lake, Canada",Canada
YOW,Ottawa Macdonald-Cartier International Airport,"Ottawa, Canada",Canada
YPQ,Peterborough Regional Airport,"Peterborough, Canada",Canada
YPT,Pender Harbour Seaplane Base,"Pender Harbour, Canada",Canada
YPW,Powell River Airport,"Powell River, Canada",Canada
YQA,Muskoka Airport,"Muskoka, Canada",Canada
YQB,Quebec Jean Lesage International Airport,"Quebec, Canada",Canada
YQG,Windsor International Airport,"Windsor, Canada",Canada
YQJ,April Point Seaplane Base,"Quadra Island, Canada",Canada
YQL,Lethbridge County Airport,"Lethbridge, Canada",Canada
YQM,Greater Moncton Roméo LeBlanc International Airport,"Moncton, Canada",Canada
YQR,Regina International Airport,"Regina, Canada",Canada
YQT,Thunder Bay International Airport,"Thunder Bay, Canada",Canada
YQX,Gander International Airport,"Gander, Canada",Canada
YQY,Sydney / J.A. Douglas McCurdy Airport,"Sydney, Canada",Canada
YR1,Refuge Cove Water Aerodrome,"Refuge Cove, Canada",Canada
YSB,Sudbury Airport,"Sudbury, Canada",Canada
YSJ,Saint John Airport,"Saint John, Canada",Canada
YTG,Sullivan Bay Seaplane Base,"Sullivan Bay, Canada",Canada
YTM,Mont-Tremblant International Airport,"La Macaza, Canada",Canada
YTZ,Billy Bishop Toronto City Airport,"Toronto, Canada",Canada
YUB,Tuktoyaktuk / James Gruben Airport,"Tuktoyaktuk, Canada",Canada
YUL,Montreal / Pierre Elliott Trudeau International Airport,"Montreal, Canada",Canada
YUM,Yuma International Airport / Marine Corps Air Station Yuma,"Yuma, AZ",United States
YVR,Vancouver International Airport,"Vancouver, Canada",Canada
YWG,Winnipeg / James Armstrong Richardson International Airport,"Winnipeg, Canada",Canada
YWH,Victoria Harbour Seaplane Base,"Victoria, Canada",Canada
YXC,Cranbrook/Canadian Rockies International Airport,"Cranbrook, Canada",Canada
YXE,Saskatoon John G. Diefenbaker International Airport,"Saskatoon, Canada",Canada
YXS,Prince George (International) Airport,"Prince George, Canada",Canada
YXU,London International Airport,"London, Canada",Canada
YXX,Abbotsford International Airport,"Abbotsford, Canada",Canada
YXY,Whitehorse / Erik Nielsen International Airport,"Whitehorse, Canada",Canada
YYB,North Bay Jack Garland Airport,"North Bay, Canada",Canada
YYC,Calgary International Airport,"Calgary, Canada",Canada
YYG,Charlottetown Airport,"Charlottetown, Canada",Canada
YYJ,Victoria International Airport,"Victoria, Canada",Canada
YYQ,Churchill Airport,"Churchill, Canada",Canada
YYR,Goose Bay Airport,"Goose Bay, Canada",Canada
YYT,St. John's International Airport,"St. John's, Canada",Canada
YYZ,Toronto Pearson International Airport,"Toronto, Canada",Canada
YZF,Yellowknife International Airport,"Yellowknife, Canada",Canada
YZT,Port Hardy Airport,"Port Hardy, Canada",Canada
ZAZ,Zaragoza Airport,"Zaragoza, Spain",Spain
ZCL,General Leobardo C. Ruiz International Airport,"Zacatecas, Mexico",Mexico
ZIH,Ixtapa-Zihuatanejo International Airport,"Ixtapa/Zihuatanejo, Mexico",Mexico
ZLO,Playa de Oro International Airport,"Manzanillo, Mexico",Mexico
ZMT,Masset Airport,"Masset, Canada",Canada
ZNA,Nanaimo Harbour Water Aerodrome,"Nanaimo, Canada",Canada
ZNC,Nyac Airport,"Nyac, AK",United States
ZRH,Zürich Airport,"Zurich, Switzerland",Switzerland
ZSA,San Salvador International Airport,"San Salvador, The Bahamas",The Bahamas
ZUH,Zhuhai Jinwan Airport,"Zhuhai, China",China
ZXB,Double Eagle II,"Albuquerque, NM",United States
ZXF,Illinois Creek Airport,"Illinois Creek, AK",United States
ZXH,Chomondely Sound Airport,"Chomondely Sound, AK",United States
ZXI,Coal Bay Airport,"Coal Bay, AK",United States
ZXK,Lancaster Cove Airport,"Lancaster Cove, AK",United States
ZXM,Saltery Cove Airport,"Saltery Cove, AK",United States
ZXN,Clover Bay Airport,"Clover Bay, AK",United States
ZXU,Quonset State,"North Kingstown, RI",United States
